patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h
AML_wsi_example_x183296_y125440_l0_p512,183296,125440,512,512
AML_wsi_example_x183808_y125440_l0_p512,183808,125440,512,512
AML_wsi_example_x182784_y125952_l0_p512,182784,125952,512,512
AML_wsi_example_x183296_y125952_l0_p512,183296,125952,512,512
AML_wsi_example_x183808_y125952_l0_p512,183808,125952,512,512
AML_wsi_example_x183296_y126464_l0_p512,183296,126464,512,512
AML_wsi_example_x183808_y126464_l0_p512,183808,126464,512,512
AML_wsi_example_x172032_y137728_l0_p512,172032,137728,512,512
AML_wsi_example_x172544_y137728_l0_p512,172544,137728,512,512
AML_wsi_example_x173056_y137728_l0_p512,173056,137728,512,512
AML_wsi_example_x173568_y137728_l0_p512,173568,137728,512,512
AML_wsi_example_x179200_y137728_l0_p512,179200,137728,512,512
AML_wsi_example_x179712_y137728_l0_p512,179712,137728,512,512
AML_wsi_example_x172032_y138240_l0_p512,172032,138240,512,512
AML_wsi_example_x172544_y138240_l0_p512,172544,138240,512,512
AML_wsi_example_x173056_y138240_l0_p512,173056,138240,512,512
AML_wsi_example_x173568_y138240_l0_p512,173568,138240,512,512
AML_wsi_example_x179200_y138240_l0_p512,179200,138240,512,512
AML_wsi_example_x179712_y138240_l0_p512,179712,138240,512,512
AML_wsi_example_x136704_y178176_l0_p512,136704,178176,512,512
AML_wsi_example_x137216_y178176_l0_p512,137216,178176,512,512
AML_wsi_example_x136704_y178688_l0_p512,136704,178688,512,512
AML_wsi_example_x137216_y178688_l0_p512,137216,178688,512,512
AML_wsi_example_x162816_y187392_l0_p512,162816,187392,512,512
AML_wsi_example_x163328_y187392_l0_p512,163328,187392,512,512
AML_wsi_example_x162816_y187904_l0_p512,162816,187904,512,512
AML_wsi_example_x163328_y187904_l0_p512,163328,187904,512,512
AML_wsi_example_x163840_y187904_l0_p512,163840,187904,512,512
AML_wsi_example_x6144_y192512_l0_p512,6144,192512,512,512
AML_wsi_example_x6656_y192512_l0_p512,6656,192512,512,512
AML_wsi_example_x6144_y193024_l0_p512,6144,193024,512,512
AML_wsi_example_x6656_y193024_l0_p512,6656,193024,512,512
AML_wsi_example_x167936_y196608_l0_p512,167936,196608,512,512
AML_wsi_example_x168448_y196608_l0_p512,168448,196608,512,512
AML_wsi_example_x167936_y197120_l0_p512,167936,197120,512,512
AML_wsi_example_x168448_y197120_l0_p512,168448,197120,512,512
AML_wsi_example_x87040_y212480_l0_p512,87040,212480,512,512
AML_wsi_example_x87552_y212480_l0_p512,87552,212480,512,512
AML_wsi_example_x87040_y212992_l0_p512,87040,212992,512,512
AML_wsi_example_x87552_y212992_l0_p512,87552,212992,512,512
AML_wsi_example_x86016_y213504_l0_p512,86016,213504,512,512
AML_wsi_example_x86528_y213504_l0_p512,86528,213504,512,512
AML_wsi_example_x87040_y213504_l0_p512,87040,213504,512,512
AML_wsi_example_x87552_y213504_l0_p512,87552,213504,512,512
AML_wsi_example_x114176_y213504_l0_p512,114176,213504,512,512
AML_wsi_example_x114688_y213504_l0_p512,114688,213504,512,512
AML_wsi_example_x86016_y214016_l0_p512,86016,214016,512,512
AML_wsi_example_x86528_y214016_l0_p512,86528,214016,512,512
AML_wsi_example_x114176_y214016_l0_p512,114176,214016,512,512
AML_wsi_example_x114688_y214016_l0_p512,114688,214016,512,512
AML_wsi_example_x115200_y214016_l0_p512,115200,214016,512,512
AML_wsi_example_x86016_y214528_l0_p512,86016,214528,512,512
AML_wsi_example_x86528_y214528_l0_p512,86528,214528,512,512
