patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h
ALL_wsi_sample_x50688_y9728_l0_p512,50688,9728,512,512
ALL_wsi_sample_x66048_y9728_l0_p512,66048,9728,512,512
ALL_wsi_sample_x50688_y10240_l0_p512,50688,10240,512,512
ALL_wsi_sample_x51200_y10240_l0_p512,51200,10240,512,512
ALL_wsi_sample_x65536_y10240_l0_p512,65536,10240,512,512
ALL_wsi_sample_x66048_y10240_l0_p512,66048,10240,512,512
ALL_wsi_sample_x66560_y10240_l0_p512,66560,10240,512,512
ALL_wsi_sample_x41472_y10752_l0_p512,41472,10752,512,512
ALL_wsi_sample_x41984_y10752_l0_p512,41984,10752,512,512
ALL_wsi_sample_x50688_y10752_l0_p512,50688,10752,512,512
ALL_wsi_sample_x51200_y10752_l0_p512,51200,10752,512,512
ALL_wsi_sample_x65024_y10752_l0_p512,65024,10752,512,512
ALL_wsi_sample_x65536_y10752_l0_p512,65536,10752,512,512
ALL_wsi_sample_x66048_y10752_l0_p512,66048,10752,512,512
ALL_wsi_sample_x66560_y10752_l0_p512,66560,10752,512,512
ALL_wsi_sample_x41472_y11264_l0_p512,41472,11264,512,512
ALL_wsi_sample_x41984_y11264_l0_p512,41984,11264,512,512
ALL_wsi_sample_x64512_y11264_l0_p512,64512,11264,512,512
ALL_wsi_sample_x65024_y11264_l0_p512,65024,11264,512,512
ALL_wsi_sample_x65536_y11264_l0_p512,65536,11264,512,512
ALL_wsi_sample_x41472_y11776_l0_p512,41472,11776,512,512
ALL_wsi_sample_x41984_y11776_l0_p512,41984,11776,512,512
ALL_wsi_sample_x46592_y11776_l0_p512,46592,11776,512,512
ALL_wsi_sample_x47104_y11776_l0_p512,47104,11776,512,512
ALL_wsi_sample_x64512_y11776_l0_p512,64512,11776,512,512
ALL_wsi_sample_x65024_y11776_l0_p512,65024,11776,512,512
ALL_wsi_sample_x65536_y11776_l0_p512,65536,11776,512,512
ALL_wsi_sample_x66048_y11776_l0_p512,66048,11776,512,512
ALL_wsi_sample_x46592_y12288_l0_p512,46592,12288,512,512
ALL_wsi_sample_x47104_y12288_l0_p512,47104,12288,512,512
ALL_wsi_sample_x65536_y12288_l0_p512,65536,12288,512,512
ALL_wsi_sample_x66048_y12288_l0_p512,66048,12288,512,512
ALL_wsi_sample_x66560_y12288_l0_p512,66560,12288,512,512
ALL_wsi_sample_x34304_y12800_l0_p512,34304,12800,512,512
ALL_wsi_sample_x34816_y12800_l0_p512,34816,12800,512,512
ALL_wsi_sample_x42496_y12800_l0_p512,42496,12800,512,512
ALL_wsi_sample_x43008_y12800_l0_p512,43008,12800,512,512
ALL_wsi_sample_x46592_y12800_l0_p512,46592,12800,512,512
ALL_wsi_sample_x47104_y12800_l0_p512,47104,12800,512,512
ALL_wsi_sample_x54784_y12800_l0_p512,54784,12800,512,512
ALL_wsi_sample_x65536_y12800_l0_p512,65536,12800,512,512
ALL_wsi_sample_x66048_y12800_l0_p512,66048,12800,512,512
ALL_wsi_sample_x66560_y12800_l0_p512,66560,12800,512,512
ALL_wsi_sample_x34304_y13312_l0_p512,34304,13312,512,512
ALL_wsi_sample_x34816_y13312_l0_p512,34816,13312,512,512
ALL_wsi_sample_x42496_y13312_l0_p512,42496,13312,512,512
ALL_wsi_sample_x43008_y13312_l0_p512,43008,13312,512,512
ALL_wsi_sample_x54272_y13312_l0_p512,54272,13312,512,512
ALL_wsi_sample_x54784_y13312_l0_p512,54784,13312,512,512
ALL_wsi_sample_x55296_y13312_l0_p512,55296,13312,512,512
ALL_wsi_sample_x34304_y13824_l0_p512,34304,13824,512,512
ALL_wsi_sample_x34816_y13824_l0_p512,34816,13824,512,512
ALL_wsi_sample_x42496_y13824_l0_p512,42496,13824,512,512
ALL_wsi_sample_x43008_y13824_l0_p512,43008,13824,512,512
