patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h
AML_wsi_sample_x184184_y12156_l0_p1012,184184,12156,1012,1013
AML_wsi_sample_x185196_y12156_l0_p1012,185196,12156,1012,1013
AML_wsi_sample_x184184_y13169_l0_p1012,184184,13169,1012,1013
AML_wsi_sample_x185196_y13169_l0_p1012,185196,13169,1012,1013
AML_wsi_sample_x185196_y14182_l0_p1012,185196,14182,1012,1013
AML_wsi_sample_x185196_y15195_l0_p1012,185196,15195,1012,1013
AML_wsi_sample_x185196_y16208_l0_p1012,185196,16208,1012,1013
AML_wsi_sample_x185196_y17221_l0_p1012,185196,17221,1012,1013
AML_wsi_sample_x115368_y18234_l0_p1012,115368,18234,1012,1013
AML_wsi_sample_x185196_y18234_l0_p1012,185196,18234,1012,1013
AML_wsi_sample_x185196_y19247_l0_p1012,185196,19247,1012,1013
AML_wsi_sample_x185196_y20260_l0_p1012,185196,20260,1012,1013
AML_wsi_sample_x185196_y21273_l0_p1012,185196,21273,1012,1013
AML_wsi_sample_x160908_y25325_l0_p1012,160908,25325,1012,1013
AML_wsi_sample_x161920_y25325_l0_p1012,161920,25325,1012,1013
AML_wsi_sample_x90068_y28364_l0_p1012,90068,28364,1012,1013
AML_wsi_sample_x184184_y28364_l0_p1012,184184,28364,1012,1013
AML_wsi_sample_x185196_y28364_l0_p1012,185196,28364,1012,1013
AML_wsi_sample_x184184_y29377_l0_p1012,184184,29377,1012,1013
AML_wsi_sample_x185196_y29377_l0_p1012,185196,29377,1012,1013
AML_wsi_sample_x185196_y31403_l0_p1012,185196,31403,1012,1013
AML_wsi_sample_x184184_y32416_l0_p1012,184184,32416,1012,1013
AML_wsi_sample_x185196_y32416_l0_p1012,185196,32416,1012,1013
AML_wsi_sample_x185196_y33429_l0_p1012,185196,33429,1012,1013
AML_wsi_sample_x185196_y34442_l0_p1012,185196,34442,1012,1013
AML_wsi_sample_x185196_y35455_l0_p1012,185196,35455,1012,1013
AML_wsi_sample_x185196_y36468_l0_p1012,185196,36468,1012,1013
AML_wsi_sample_x185196_y37481_l0_p1012,185196,37481,1012,1013
AML_wsi_sample_x54648_y38494_l0_p1012,54648,38494,1012,1013
AML_wsi_sample_x185196_y38494_l0_p1012,185196,38494,1012,1013
AML_wsi_sample_x117392_y39507_l0_p1012,117392,39507,1012,1013
AML_wsi_sample_x118404_y39507_l0_p1012,118404,39507,1012,1013
AML_wsi_sample_x185196_y39507_l0_p1012,185196,39507,1012,1013
AML_wsi_sample_x117392_y40520_l0_p1012,117392,40520,1012,1013
AML_wsi_sample_x118404_y40520_l0_p1012,118404,40520,1012,1013
AML_wsi_sample_x132572_y40520_l0_p1012,132572,40520,1012,1013
AML_wsi_sample_x133584_y40520_l0_p1012,133584,40520,1012,1013
AML_wsi_sample_x134596_y40520_l0_p1012,134596,40520,1012,1013
AML_wsi_sample_x135608_y40520_l0_p1012,135608,40520,1012,1013
AML_wsi_sample_x185196_y40520_l0_p1012,185196,40520,1012,1013
AML_wsi_sample_x49588_y41533_l0_p1012,49588,41533,1012,1013
AML_wsi_sample_x127512_y41533_l0_p1012,127512,41533,1012,1013
AML_wsi_sample_x132572_y41533_l0_p1012,132572,41533,1012,1013
AML_wsi_sample_x133584_y41533_l0_p1012,133584,41533,1012,1013
AML_wsi_sample_x134596_y41533_l0_p1012,134596,41533,1012,1013
AML_wsi_sample_x135608_y41533_l0_p1012,135608,41533,1012,1013
