patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h
CML_wsi_sample_x122368_y179200_l0_p512,122368,179200,512,512
CML_wsi_sample_x122880_y179200_l0_p512,122880,179200,512,512
CML_wsi_sample_x122368_y179712_l0_p512,122368,179712,512,512
CML_wsi_sample_x122880_y179712_l0_p512,122880,179712,512,512
CML_wsi_sample_x125440_y190464_l0_p512,125440,190464,512,512
CML_wsi_sample_x125952_y190464_l0_p512,125952,190464,512,512
CML_wsi_sample_x125440_y190976_l0_p512,125440,190976,512,512
CML_wsi_sample_x125952_y190976_l0_p512,125952,190976,512,512
CML_wsi_sample_x123392_y191488_l0_p512,123392,191488,512,512
CML_wsi_sample_x123904_y191488_l0_p512,123904,191488,512,512
CML_wsi_sample_x123392_y192000_l0_p512,123392,192000,512,512
CML_wsi_sample_x123904_y192000_l0_p512,123904,192000,512,512
CML_wsi_sample_x124416_y192512_l0_p512,124416,192512,512,512
CML_wsi_sample_x124928_y192512_l0_p512,124928,192512,512,512
CML_wsi_sample_x124416_y193024_l0_p512,124416,193024,512,512
CML_wsi_sample_x124928_y193024_l0_p512,124928,193024,512,512
CML_wsi_sample_x125440_y193536_l0_p512,125440,193536,512,512
CML_wsi_sample_x125952_y193536_l0_p512,125952,193536,512,512
CML_wsi_sample_x125440_y194048_l0_p512,125440,194048,512,512
CML_wsi_sample_x125952_y194048_l0_p512,125952,194048,512,512
CML_wsi_sample_x124416_y194560_l0_p512,124416,194560,512,512
CML_wsi_sample_x124928_y194560_l0_p512,124928,194560,512,512
CML_wsi_sample_x124416_y195072_l0_p512,124416,195072,512,512
CML_wsi_sample_x124928_y195072_l0_p512,124928,195072,512,512
CML_wsi_sample_x124416_y199168_l0_p512,124416,199168,512,512
CML_wsi_sample_x124928_y199168_l0_p512,124928,199168,512,512
CML_wsi_sample_x124416_y199680_l0_p512,124416,199680,512,512
CML_wsi_sample_x124928_y199680_l0_p512,124928,199680,512,512
CML_wsi_sample_x122368_y200192_l0_p512,122368,200192,512,512
CML_wsi_sample_x122880_y200192_l0_p512,122880,200192,512,512
CML_wsi_sample_x124416_y200192_l0_p512,124416,200192,512,512
CML_wsi_sample_x124928_y200192_l0_p512,124928,200192,512,512
CML_wsi_sample_x126464_y200192_l0_p512,126464,200192,512,512
CML_wsi_sample_x126976_y200192_l0_p512,126976,200192,512,512
CML_wsi_sample_x122368_y200704_l0_p512,122368,200704,512,512
CML_wsi_sample_x122880_y200704_l0_p512,122880,200704,512,512
CML_wsi_sample_x126464_y200704_l0_p512,126464,200704,512,512
CML_wsi_sample_x126976_y200704_l0_p512,126976,200704,512,512
CML_wsi_sample_x122368_y201216_l0_p512,122368,201216,512,512
CML_wsi_sample_x122880_y201216_l0_p512,122880,201216,512,512
CML_wsi_sample_x124416_y201216_l0_p512,124416,201216,512,512
CML_wsi_sample_x124928_y201216_l0_p512,124928,201216,512,512
CML_wsi_sample_x126464_y201216_l0_p512,126464,201216,512,512
CML_wsi_sample_x126976_y201216_l0_p512,126976,201216,512,512
CML_wsi_sample_x124416_y201728_l0_p512,124416,201728,512,512
CML_wsi_sample_x124928_y201728_l0_p512,124928,201728,512,512
CML_wsi_sample_x123392_y202240_l0_p512,123392,202240,512,512
CML_wsi_sample_x123904_y202240_l0_p512,123904,202240,512,512
CML_wsi_sample_x124416_y202240_l0_p512,124416,202240,512,512
CML_wsi_sample_x124928_y202240_l0_p512,124928,202240,512,512
CML_wsi_sample_x123392_y202752_l0_p512,123392,202752,512,512
CML_wsi_sample_x123904_y202752_l0_p512,123904,202752,512,512
CML_wsi_sample_x123392_y203264_l0_p512,123392,203264,512,512
CML_wsi_sample_x123904_y203264_l0_p512,123904,203264,512,512
CML_wsi_sample_x124416_y203264_l0_p512,124416,203264,512,512
CML_wsi_sample_x124928_y203264_l0_p512,124928,203264,512,512
CML_wsi_sample_x125440_y203264_l0_p512,125440,203264,512,512
CML_wsi_sample_x125952_y203264_l0_p512,125952,203264,512,512
CML_wsi_sample_x126464_y203264_l0_p512,126464,203264,512,512
CML_wsi_sample_x126976_y203264_l0_p512,126976,203264,512,512
CML_wsi_sample_x123392_y203776_l0_p512,123392,203776,512,512
CML_wsi_sample_x123904_y203776_l0_p512,123904,203776,512,512
CML_wsi_sample_x124416_y203776_l0_p512,124416,203776,512,512
CML_wsi_sample_x124928_y203776_l0_p512,124928,203776,512,512
CML_wsi_sample_x125440_y203776_l0_p512,125440,203776,512,512
CML_wsi_sample_x125952_y203776_l0_p512,125952,203776,512,512
CML_wsi_sample_x126464_y203776_l0_p512,126464,203776,512,512
CML_wsi_sample_x126976_y203776_l0_p512,126976,203776,512,512
CML_wsi_sample_x123392_y204288_l0_p512,123392,204288,512,512
CML_wsi_sample_x123904_y204288_l0_p512,123904,204288,512,512
CML_wsi_sample_x124416_y204288_l0_p512,124416,204288,512,512
CML_wsi_sample_x124928_y204288_l0_p512,124928,204288,512,512
CML_wsi_sample_x125440_y204288_l0_p512,125440,204288,512,512
CML_wsi_sample_x125952_y204288_l0_p512,125952,204288,512,512
CML_wsi_sample_x126464_y204288_l0_p512,126464,204288,512,512
CML_wsi_sample_x126976_y204288_l0_p512,126976,204288,512,512
CML_wsi_sample_x126464_y206336_l0_p512,126464,206336,512,512
CML_wsi_sample_x126976_y206336_l0_p512,126976,206336,512,512
CML_wsi_sample_x128512_y206336_l0_p512,128512,206336,512,512
CML_wsi_sample_x129024_y206336_l0_p512,129024,206336,512,512
CML_wsi_sample_x129536_y206336_l0_p512,129536,206336,512,512
CML_wsi_sample_x130048_y206336_l0_p512,130048,206336,512,512
CML_wsi_sample_x126464_y206848_l0_p512,126464,206848,512,512
CML_wsi_sample_x126976_y206848_l0_p512,126976,206848,512,512
CML_wsi_sample_x128512_y206848_l0_p512,128512,206848,512,512
CML_wsi_sample_x129024_y206848_l0_p512,129024,206848,512,512
CML_wsi_sample_x129536_y206848_l0_p512,129536,206848,512,512
CML_wsi_sample_x130048_y206848_l0_p512,130048,206848,512,512
CML_wsi_sample_x125440_y207360_l0_p512,125440,207360,512,512
CML_wsi_sample_x125952_y207360_l0_p512,125952,207360,512,512
CML_wsi_sample_x126464_y207360_l0_p512,126464,207360,512,512
CML_wsi_sample_x126976_y207360_l0_p512,126976,207360,512,512
CML_wsi_sample_x127488_y207360_l0_p512,127488,207360,512,512
CML_wsi_sample_x128000_y207360_l0_p512,128000,207360,512,512
CML_wsi_sample_x128512_y207360_l0_p512,128512,207360,512,512
CML_wsi_sample_x129024_y207360_l0_p512,129024,207360,512,512
CML_wsi_sample_x129536_y207360_l0_p512,129536,207360,512,512
CML_wsi_sample_x130048_y207360_l0_p512,130048,207360,512,512
CML_wsi_sample_x134656_y207360_l0_p512,134656,207360,512,512
CML_wsi_sample_x135168_y207360_l0_p512,135168,207360,512,512
CML_wsi_sample_x125440_y207872_l0_p512,125440,207872,512,512
CML_wsi_sample_x125952_y207872_l0_p512,125952,207872,512,512
CML_wsi_sample_x127488_y207872_l0_p512,127488,207872,512,512
CML_wsi_sample_x128000_y207872_l0_p512,128000,207872,512,512
CML_wsi_sample_x129536_y207872_l0_p512,129536,207872,512,512
CML_wsi_sample_x130048_y207872_l0_p512,130048,207872,512,512
CML_wsi_sample_x134656_y207872_l0_p512,134656,207872,512,512
CML_wsi_sample_x135168_y207872_l0_p512,135168,207872,512,512
CML_wsi_sample_x125440_y208384_l0_p512,125440,208384,512,512
CML_wsi_sample_x125952_y208384_l0_p512,125952,208384,512,512
CML_wsi_sample_x126464_y208384_l0_p512,126464,208384,512,512
CML_wsi_sample_x126976_y208384_l0_p512,126976,208384,512,512
CML_wsi_sample_x127488_y208384_l0_p512,127488,208384,512,512
CML_wsi_sample_x128000_y208384_l0_p512,128000,208384,512,512
CML_wsi_sample_x128512_y208384_l0_p512,128512,208384,512,512
CML_wsi_sample_x129024_y208384_l0_p512,129024,208384,512,512
CML_wsi_sample_x129536_y208384_l0_p512,129536,208384,512,512
CML_wsi_sample_x130048_y208384_l0_p512,130048,208384,512,512
CML_wsi_sample_x131584_y208384_l0_p512,131584,208384,512,512
CML_wsi_sample_x132096_y208384_l0_p512,132096,208384,512,512
CML_wsi_sample_x134656_y208384_l0_p512,134656,208384,512,512
CML_wsi_sample_x135168_y208384_l0_p512,135168,208384,512,512
CML_wsi_sample_x126464_y208896_l0_p512,126464,208896,512,512
CML_wsi_sample_x126976_y208896_l0_p512,126976,208896,512,512
CML_wsi_sample_x128512_y208896_l0_p512,128512,208896,512,512
CML_wsi_sample_x129024_y208896_l0_p512,129024,208896,512,512
CML_wsi_sample_x131584_y208896_l0_p512,131584,208896,512,512
CML_wsi_sample_x132096_y208896_l0_p512,132096,208896,512,512
CML_wsi_sample_x124416_y209408_l0_p512,124416,209408,512,512
CML_wsi_sample_x124928_y209408_l0_p512,124928,209408,512,512
CML_wsi_sample_x126464_y209408_l0_p512,126464,209408,512,512
CML_wsi_sample_x126976_y209408_l0_p512,126976,209408,512,512
CML_wsi_sample_x128512_y209408_l0_p512,128512,209408,512,512
CML_wsi_sample_x129024_y209408_l0_p512,129024,209408,512,512
CML_wsi_sample_x131584_y209408_l0_p512,131584,209408,512,512
CML_wsi_sample_x132096_y209408_l0_p512,132096,209408,512,512
CML_wsi_sample_x135680_y209408_l0_p512,135680,209408,512,512
CML_wsi_sample_x136192_y209408_l0_p512,136192,209408,512,512
CML_wsi_sample_x139776_y209408_l0_p512,139776,209408,512,512
CML_wsi_sample_x140288_y209408_l0_p512,140288,209408,512,512
CML_wsi_sample_x124416_y209920_l0_p512,124416,209920,512,512
CML_wsi_sample_x124928_y209920_l0_p512,124928,209920,512,512
CML_wsi_sample_x131584_y209920_l0_p512,131584,209920,512,512
CML_wsi_sample_x132096_y209920_l0_p512,132096,209920,512,512
CML_wsi_sample_x135680_y209920_l0_p512,135680,209920,512,512
CML_wsi_sample_x136192_y209920_l0_p512,136192,209920,512,512
CML_wsi_sample_x139264_y209920_l0_p512,139264,209920,512,512
CML_wsi_sample_x139776_y209920_l0_p512,139776,209920,512,512
CML_wsi_sample_x140288_y209920_l0_p512,140288,209920,512,512
CML_wsi_sample_x124416_y210432_l0_p512,124416,210432,512,512
CML_wsi_sample_x124928_y210432_l0_p512,124928,210432,512,512
CML_wsi_sample_x126464_y210432_l0_p512,126464,210432,512,512
CML_wsi_sample_x126976_y210432_l0_p512,126976,210432,512,512
CML_wsi_sample_x129536_y210432_l0_p512,129536,210432,512,512
CML_wsi_sample_x130048_y210432_l0_p512,130048,210432,512,512
CML_wsi_sample_x131584_y210432_l0_p512,131584,210432,512,512
CML_wsi_sample_x132096_y210432_l0_p512,132096,210432,512,512
CML_wsi_sample_x135680_y210432_l0_p512,135680,210432,512,512
CML_wsi_sample_x136192_y210432_l0_p512,136192,210432,512,512
CML_wsi_sample_x136704_y210432_l0_p512,136704,210432,512,512
CML_wsi_sample_x137216_y210432_l0_p512,137216,210432,512,512
CML_wsi_sample_x139776_y210432_l0_p512,139776,210432,512,512
CML_wsi_sample_x140288_y210432_l0_p512,140288,210432,512,512
CML_wsi_sample_x126464_y210944_l0_p512,126464,210944,512,512
CML_wsi_sample_x126976_y210944_l0_p512,126976,210944,512,512
CML_wsi_sample_x129536_y210944_l0_p512,129536,210944,512,512
CML_wsi_sample_x130048_y210944_l0_p512,130048,210944,512,512
CML_wsi_sample_x136704_y210944_l0_p512,136704,210944,512,512
CML_wsi_sample_x137216_y210944_l0_p512,137216,210944,512,512
CML_wsi_sample_x122368_y211456_l0_p512,122368,211456,512,512
CML_wsi_sample_x122880_y211456_l0_p512,122880,211456,512,512
CML_wsi_sample_x126464_y211456_l0_p512,126464,211456,512,512
CML_wsi_sample_x126976_y211456_l0_p512,126976,211456,512,512
CML_wsi_sample_x129536_y211456_l0_p512,129536,211456,512,512
CML_wsi_sample_x130048_y211456_l0_p512,130048,211456,512,512
CML_wsi_sample_x132608_y211456_l0_p512,132608,211456,512,512
CML_wsi_sample_x133120_y211456_l0_p512,133120,211456,512,512
CML_wsi_sample_x136704_y211456_l0_p512,136704,211456,512,512
CML_wsi_sample_x137216_y211456_l0_p512,137216,211456,512,512
CML_wsi_sample_x139776_y211456_l0_p512,139776,211456,512,512
CML_wsi_sample_x140288_y211456_l0_p512,140288,211456,512,512
CML_wsi_sample_x140800_y211456_l0_p512,140800,211456,512,512
CML_wsi_sample_x141312_y211456_l0_p512,141312,211456,512,512
CML_wsi_sample_x141824_y211456_l0_p512,141824,211456,512,512
CML_wsi_sample_x142336_y211456_l0_p512,142336,211456,512,512
CML_wsi_sample_x122368_y211968_l0_p512,122368,211968,512,512
CML_wsi_sample_x122880_y211968_l0_p512,122880,211968,512,512
CML_wsi_sample_x126464_y211968_l0_p512,126464,211968,512,512
CML_wsi_sample_x126976_y211968_l0_p512,126976,211968,512,512
CML_wsi_sample_x132608_y211968_l0_p512,132608,211968,512,512
CML_wsi_sample_x133120_y211968_l0_p512,133120,211968,512,512
CML_wsi_sample_x139264_y211968_l0_p512,139264,211968,512,512
CML_wsi_sample_x139776_y211968_l0_p512,139776,211968,512,512
CML_wsi_sample_x140288_y211968_l0_p512,140288,211968,512,512
CML_wsi_sample_x140800_y211968_l0_p512,140800,211968,512,512
CML_wsi_sample_x141312_y211968_l0_p512,141312,211968,512,512
CML_wsi_sample_x141824_y211968_l0_p512,141824,211968,512,512
CML_wsi_sample_x142336_y211968_l0_p512,142336,211968,512,512
CML_wsi_sample_x122368_y212480_l0_p512,122368,212480,512,512
CML_wsi_sample_x122880_y212480_l0_p512,122880,212480,512,512
CML_wsi_sample_x124416_y212480_l0_p512,124416,212480,512,512
CML_wsi_sample_x124928_y212480_l0_p512,124928,212480,512,512
CML_wsi_sample_x125440_y212480_l0_p512,125440,212480,512,512
CML_wsi_sample_x125952_y212480_l0_p512,125952,212480,512,512
CML_wsi_sample_x126464_y212480_l0_p512,126464,212480,512,512
CML_wsi_sample_x126976_y212480_l0_p512,126976,212480,512,512
CML_wsi_sample_x132608_y212480_l0_p512,132608,212480,512,512
CML_wsi_sample_x133120_y212480_l0_p512,133120,212480,512,512
CML_wsi_sample_x134656_y212480_l0_p512,134656,212480,512,512
CML_wsi_sample_x135168_y212480_l0_p512,135168,212480,512,512
CML_wsi_sample_x139776_y212480_l0_p512,139776,212480,512,512
CML_wsi_sample_x140288_y212480_l0_p512,140288,212480,512,512
CML_wsi_sample_x140800_y212480_l0_p512,140800,212480,512,512
CML_wsi_sample_x141312_y212480_l0_p512,141312,212480,512,512
CML_wsi_sample_x141824_y212480_l0_p512,141824,212480,512,512
CML_wsi_sample_x142336_y212480_l0_p512,142336,212480,512,512
CML_wsi_sample_x124416_y212992_l0_p512,124416,212992,512,512
CML_wsi_sample_x124928_y212992_l0_p512,124928,212992,512,512
CML_wsi_sample_x125440_y212992_l0_p512,125440,212992,512,512
CML_wsi_sample_x125952_y212992_l0_p512,125952,212992,512,512
CML_wsi_sample_x134656_y212992_l0_p512,134656,212992,512,512
CML_wsi_sample_x135168_y212992_l0_p512,135168,212992,512,512
CML_wsi_sample_x141312_y212992_l0_p512,141312,212992,512,512
CML_wsi_sample_x141824_y212992_l0_p512,141824,212992,512,512
CML_wsi_sample_x142336_y212992_l0_p512,142336,212992,512,512
CML_wsi_sample_x124416_y213504_l0_p512,124416,213504,512,512
CML_wsi_sample_x124928_y213504_l0_p512,124928,213504,512,512
CML_wsi_sample_x125440_y213504_l0_p512,125440,213504,512,512
CML_wsi_sample_x125952_y213504_l0_p512,125952,213504,512,512
CML_wsi_sample_x126464_y213504_l0_p512,126464,213504,512,512
CML_wsi_sample_x126976_y213504_l0_p512,126976,213504,512,512
CML_wsi_sample_x129536_y213504_l0_p512,129536,213504,512,512
CML_wsi_sample_x130048_y213504_l0_p512,130048,213504,512,512
CML_wsi_sample_x132608_y213504_l0_p512,132608,213504,512,512
CML_wsi_sample_x133120_y213504_l0_p512,133120,213504,512,512
CML_wsi_sample_x134656_y213504_l0_p512,134656,213504,512,512
CML_wsi_sample_x135168_y213504_l0_p512,135168,213504,512,512
CML_wsi_sample_x140800_y213504_l0_p512,140800,213504,512,512
CML_wsi_sample_x141312_y213504_l0_p512,141312,213504,512,512
CML_wsi_sample_x141824_y213504_l0_p512,141824,213504,512,512
CML_wsi_sample_x142336_y213504_l0_p512,142336,213504,512,512
CML_wsi_sample_x143872_y213504_l0_p512,143872,213504,512,512
CML_wsi_sample_x144384_y213504_l0_p512,144384,213504,512,512
CML_wsi_sample_x126464_y214016_l0_p512,126464,214016,512,512
CML_wsi_sample_x126976_y214016_l0_p512,126976,214016,512,512
CML_wsi_sample_x129536_y214016_l0_p512,129536,214016,512,512
CML_wsi_sample_x130048_y214016_l0_p512,130048,214016,512,512
CML_wsi_sample_x132608_y214016_l0_p512,132608,214016,512,512
CML_wsi_sample_x133120_y214016_l0_p512,133120,214016,512,512
CML_wsi_sample_x140288_y214016_l0_p512,140288,214016,512,512
CML_wsi_sample_x140800_y214016_l0_p512,140800,214016,512,512
CML_wsi_sample_x141312_y214016_l0_p512,141312,214016,512,512
CML_wsi_sample_x143360_y214016_l0_p512,143360,214016,512,512
CML_wsi_sample_x143872_y214016_l0_p512,143872,214016,512,512
CML_wsi_sample_x144384_y214016_l0_p512,144384,214016,512,512
CML_wsi_sample_x124416_y214528_l0_p512,124416,214528,512,512
CML_wsi_sample_x124928_y214528_l0_p512,124928,214528,512,512
CML_wsi_sample_x125440_y214528_l0_p512,125440,214528,512,512
CML_wsi_sample_x125952_y214528_l0_p512,125952,214528,512,512
CML_wsi_sample_x126464_y214528_l0_p512,126464,214528,512,512
CML_wsi_sample_x126976_y214528_l0_p512,126976,214528,512,512
CML_wsi_sample_x129536_y214528_l0_p512,129536,214528,512,512
CML_wsi_sample_x130048_y214528_l0_p512,130048,214528,512,512
CML_wsi_sample_x132608_y214528_l0_p512,132608,214528,512,512
CML_wsi_sample_x133120_y214528_l0_p512,133120,214528,512,512
CML_wsi_sample_x140800_y214528_l0_p512,140800,214528,512,512
CML_wsi_sample_x141312_y214528_l0_p512,141312,214528,512,512
CML_wsi_sample_x143872_y214528_l0_p512,143872,214528,512,512
CML_wsi_sample_x144384_y214528_l0_p512,144384,214528,512,512
CML_wsi_sample_x145408_y214528_l0_p512,145408,214528,512,512
CML_wsi_sample_x145920_y214528_l0_p512,145920,214528,512,512
CML_wsi_sample_x146432_y214528_l0_p512,146432,214528,512,512
CML_wsi_sample_x124416_y215040_l0_p512,124416,215040,512,512
CML_wsi_sample_x124928_y215040_l0_p512,124928,215040,512,512
CML_wsi_sample_x125440_y215040_l0_p512,125440,215040,512,512
CML_wsi_sample_x125952_y215040_l0_p512,125952,215040,512,512
CML_wsi_sample_x132608_y215040_l0_p512,132608,215040,512,512
CML_wsi_sample_x133120_y215040_l0_p512,133120,215040,512,512
CML_wsi_sample_x145408_y215040_l0_p512,145408,215040,512,512
CML_wsi_sample_x145920_y215040_l0_p512,145920,215040,512,512
CML_wsi_sample_x146432_y215040_l0_p512,146432,215040,512,512
CML_wsi_sample_x124416_y215552_l0_p512,124416,215552,512,512
CML_wsi_sample_x124928_y215552_l0_p512,124928,215552,512,512
CML_wsi_sample_x125440_y215552_l0_p512,125440,215552,512,512
CML_wsi_sample_x125952_y215552_l0_p512,125952,215552,512,512
CML_wsi_sample_x127488_y215552_l0_p512,127488,215552,512,512
CML_wsi_sample_x128000_y215552_l0_p512,128000,215552,512,512
CML_wsi_sample_x129536_y215552_l0_p512,129536,215552,512,512
CML_wsi_sample_x130048_y215552_l0_p512,130048,215552,512,512
CML_wsi_sample_x132608_y215552_l0_p512,132608,215552,512,512
CML_wsi_sample_x133120_y215552_l0_p512,133120,215552,512,512
CML_wsi_sample_x134656_y215552_l0_p512,134656,215552,512,512
CML_wsi_sample_x135168_y215552_l0_p512,135168,215552,512,512
CML_wsi_sample_x136704_y215552_l0_p512,136704,215552,512,512
CML_wsi_sample_x137216_y215552_l0_p512,137216,215552,512,512
CML_wsi_sample_x145920_y215552_l0_p512,145920,215552,512,512
CML_wsi_sample_x146432_y215552_l0_p512,146432,215552,512,512
CML_wsi_sample_x125440_y216064_l0_p512,125440,216064,512,512
CML_wsi_sample_x125952_y216064_l0_p512,125952,216064,512,512
CML_wsi_sample_x127488_y216064_l0_p512,127488,216064,512,512
CML_wsi_sample_x128000_y216064_l0_p512,128000,216064,512,512
